ssj,interp_chans,BslnRedAttended,BslnBlueAttended,AcqRedAttended,AcqBlueAttended,ExtRedAttended,ExtBlueAttended,BslnRedAttendedMov,BslnBlueAttendedMov,AcqRedAttendedMov,AcqBlueAttendedMov,ExtRedAttendedMov,ExtBlueAttendedMov
VP01,4,7.5,5,15,5,2.5,22.5,5,8.33333,5,10,6.66667,10
VP02,3,0,2.5,0,2.5,0,2.5,3.3333,3.3333,1.6667,0,5,0
VP03,5,2.5,10,5,2.5,0,7.5,5,1.66667,6.66667,11.6667,8.33333,8.33333
VP04,5,0,7.5,5,5,10,0,10,3.33333,6.66667,8.33333,8.33333,5
VP06,4,7.5,10,5,10,7.5,15,18.3333,11.6667,10,8.33333,15,8.33333
VP07,4,2.5,17.5,2.5,5,5,15,0,8.33333,10,6.66667,3.33333,6.66667
VP08,1,12.5,10,15,5,20,12.5,11.6667,6.66667,18.3333,18.3333,23.3333,21.6667
VP09,3,0,2.5,0,2.5,15,22.5,0,0,1.66667,6.66667,8.33333,11.6667
VP11,4,5,10,12.5,7.5,5,5,0,1.66667,8.33333,3.33333,8.33333,3.33333
VP12,4,12.5,12.5,7.5,10,5,7.5,16.6667,26.6667,1.66667,18.3333,10,21.6667
VP14,3,7.5,5,0,0,0,5,6.6667,0,0,1.6667,1.6667,1.6667
VP15,2,12.5,5,2.5,2.5,5,2.5,6.66667,6.66667,5,5,1.66667,3.33333
VP16,5,5,2.5,2.5,5,20,12.5,5,1.66667,1.66667,8.33333,15,16.6667
VP17,3,7.5,2.5,0,5,7.5,5,10,8.33333,1.66667,1.66667,11.6667,8.33333
VP18,3,0,0,5,2.5,0,2.5,5,10,6.66667,0,3.33333,3.33333
VP19,4,12.5,5,2.5,12.5,15,5,6.66667,5,0,1.66667,11.6667,15
VP20,5,10,5,5,10,12.5,7.5,11.6667,5,8.33333,15,20,18.3333
VP21,5,5,5,2.5,0,30,25,6.66667,10,5,5,23.3333,30
VP22,5,10,7.5,5,2.5,12.5,7.5,5,8.33333,10,10,3.33333,8.33333
VP23,4,7.5,0,0,2.5,0,10,0,1.66667,0,0,1.66667,6.66667
VP24,2,10,12.5,10,12.5,25,15,13.3333,20,18.3333,18.3333,10,13.3333
VP25,3,10,15,2.5,0,12.5,5,8.33333,5,3.33333,1.66667,3.33333,10
VP26,4,12.5,12.5,17.5,7.5,10,20,3.33333,15,8.33333,13.3333,13.3333,6.66667
VP28,4,2.5,12.5,7.5,5,12.5,10,11.6667,1.66667,1.66667,3.33333,6.66667,5
VP29,4,5,2.5,2.5,0,10,7.5,18.3333,8.33333,6.66667,5,0,5
VP30,3,0,2.5,5,0,5,0,3.33333,5,11.6667,5,8.33333,1.66667
VP31,5,7.5,0,10,22.5,7.5,25,20,13.3333,16.6667,11.6667,16.6667,13.3333
VP32,3,12.5,5,2.5,12.5,12.5,17.5,5,10,3.33333,5,20,16.6667
VP33,6,10,12.5,5,7.5,12.5,2.5,13.3333,11.6667,5,5,5,8.33333
VP34,6,0,0,2.5,2.5,10,20,0,0,3.33333,3.33333,13.3333,18.3333
VP35,3,20,17.5,22.5,7.5,40,27.5,8.33333,23.3333,20,10,35,30
VP36,3,5,5,2.5,5,0,2.5,8.33333,15,1.66667,8.33333,6.66667,10
VP37,1,22.5,17.5,15,7.5,22.5,17.5,25,20,11.6667,10,25,20
VP38,4,2.5,0,2.5,2.5,15,17.5,6.66667,10,8.33333,8.33333,10,8.33333
VP39,6,10,7.5,12.5,10,45,40,15,8.33333,6.66667,5,35,23.3333
VP40,3,12.5,5,7.5,2.5,5,0,10,21.6667,1.66667,1.66667,6.66667,8.33333
VP41,3,5,0,5,5,7.5,2.5,3.3333,3.3333,5,3.3333,6.6667,6.6667
VP42,2,10,2.5,0,5,5,15,1.66667,0,3.33333,3.33333,8.33333,11.6667
VP43,5,5,15,15,5,12.5,20,13.3333,15,6.66667,11.6667,26.6667,23.3333
VP44,3,2.5,7.5,17.5,25,12.5,22.5,5,5,10,21.6667,10,23.3333
VP45,3,5,15,12.5,2.5,7.5,17.5,5,10,13.3333,16.6667,16.6667,10
VP46,2,22.5,20,2.5,17.5,2.5,7.5,20,25,16.6667,15,10,5
VP47,3,12.5,7.5,5,10,7.5,2.5,10,10,3.33333,6.66667,13.3333,8.33333
VP48,2,7.5,0,0,5,5,15,15,5,0,6.66667,15,8.33333
