10 Hz,12 Hz
0.33129,0.22276
0.32463,0.21409
0.32172,0.22519
0.33196,0.23935
0.31481,0.23011
0.32156,0.21283
0.33245,0.20946
0.33654,0.20386
0.31002,0.20398
0.29981,0.2242
0.33304,0.24356
0.32111,0.22613
0.29515,0.20917
0.29699,0.19849
0.3384,0.20642
0.36249,0.2146
0.31089,0.20778
0.3009,0.20782
0.32583,0.20997
0.46141,0.25644
0.38248,0.24182
0.39443,0.25268
0.4404,0.27023
0.45466,0.29198
0.60692,0.39261
0.71119,0.43428
0.98306,0.66242
1.2144,0.98505
1.6167,1.1792
1.0782,0.68019
0.51556,0.28267
0.37361,0.21673
0.32881,0.21887
0.32477,0.21947
0.32511,0.2147
0.33996,0.22826
0.33233,0.229
0.34521,0.24238
0.33066,0.23564
0.3075,0.22082
0.31253,0.20455
0.32718,0.20737
0.31926,0.19451
0.28111,0.18403
0.2976,0.20877
0.33859,0.23608
0.36706,0.2542
0.38036,0.24676
0.3414,0.21476
0.29645,0.19558
0.28014,0.17633
0.32541,0.20466
0.37123,0.24413
0.30012,0.1892
0.29487,0.17731
0.3331,0.18487
0.4721,0.26601
0.40267,0.23916
0.43117,0.28596
0.5074,0.34101
0.5591,0.41243
0.74285,0.51115
0.7817,0.4992
1.1613,0.85889
