Subject,Frequency,BslnRedAttended,BslnBlueAttended,AcqRedAttended,AcqBlueAttended,ExtRedAttended,ExtBlueAttended,BslnRedAttendedMov,BslnBlueAttendedMov,AcqRedAttendedMov,AcqBlueAttendedMov,ExtRedAttendedMov,ExtBlueAttendedMov
1,10,0.80345,1.3007,0.90512,1.2806,0.83961,1.3213,0.86816,1.3968,0.84468,1.3474,0.77207,1.3723
2,10,0.20102,0.33792,0.34065,0.29572,0.25596,0.31869,0.14669,0.20455,0.25234,0.23181,0.38051,0.44462
3,10,0.59676,0.40647,0.72359,0.54606,0.59809,0.63786,0.67702,0.28453,0.46687,0.55392,0.65226,0.53131
4,10,1.5757,1.9513,1.6311,1.9709,1.7297,1.9437,1.5507,2.0071,1.7966,2.01,1.7766,1.896
6,10,2.6524,3.1461,2.1375,2.5639,2.2866,2.5181,2.8903,3.334,2.5258,2.9348,2.5513,2.8266
7,10,0.37264,0.40091,0.22924,0.35097,0.33563,0.78965,0.3896,0.49803,0.33894,0.44834,0.18166,0.32467
8,10,1.5427,1.9819,1.6415,2.2345,1.8336,2.1989,1.5033,2.1682,1.599,2.3847,1.7586,2.2628
9,10,0.95356,1.1282,0.96458,1.0898,0.94362,1.6261,0.82345,1.1102,0.8546,1.0622,0.94893,1.2286
11,10,3.0122,3.7447,2.6436,3.6793,3.0247,3.7672,2.7386,3.6426,2.5944,3.33,2.8906,3.4895
12,10,1.8502,2.2259,1.7613,2.2286,1.6512,2.2213,1.9971,2.591,1.8212,2.4348,1.722,2.2822
14,10,1.2988,1.7981,2.2181,3.0893,2.1488,3.0228,1.7117,2.1229,1.9882,2.9605,2.2129,3.0316
15,10,1.0054,1.1136,1.0163,1.089,1.0393,0.99792,1.1344,1.2501,1.196,1.322,1.1083,1.2864
16,10,0.68719,0.9114,0.58792,0.94826,0.57822,0.90827,0.82174,0.87903,0.63086,0.7792,0.77037,0.92978
17,10,1.1172,1.5936,1.0132,1.396,1.3636,1.3955,1.4127,1.5982,1.4031,1.4602,1.5047,1.6936
18,10,0.99196,0.60348,0.60212,0.69184,0.72346,0.69693,0.66287,0.836,0.5364,0.72629,0.64146,0.81877
19,10,1.8673,2.3534,1.7186,2.3097,1.6774,2.4568,1.8582,2.2664,1.7243,2.3931,1.777,2.4361
20,10,0.95453,1.0225,0.85611,1.0324,1.0288,1.1281,0.88038,1.0847,0.86742,1.0943,0.98135,1.0197
21,10,2.2003,2.2762,2.3659,2.3597,2.4773,2.6033,1.8896,1.9975,1.972,2.036,2.0804,2.2851
22,10,0.56876,0.65392,0.57617,0.62628,0.64934,0.60203,0.55948,0.632,0.50847,0.5854,0.59813,0.69113
23,10,0.2367,0.69441,0.54744,0.40475,0.42581,0.31842,0.3326,0.77127,0.45489,0.40516,0.4427,0.4559
24,10,1.5189,1.7089,1.1635,1.8877,1.7183,1.1928,0.93939,0.67348,0.89649,0.82004,0.74454,0.73417
25,10,0.26448,0.30113,0.42683,0.16626,0.2354,0.29817,0.44451,0.22858,0.45867,0.26951,0.26866,0.18403
26,10,1.8187,1.6284,1.4253,1.4,1.7459,1.6167,1.2547,1.1189,1.1809,0.96535,1.4779,1.2948
28,10,0.82111,1.2034,0.88164,0.90889,0.85731,0.8507,0.89109,1.0995,0.85728,1.1147,0.91245,0.94928
29,10,2.8278,3.1733,3.1138,3.2372,2.5933,3.0373,2.9358,3.2383,2.7834,2.8996,2.6057,2.8692
30,10,1.4651,1.6351,1.6386,1.5053,1.5472,1.5084,1.1623,1.3413,1.2603,1.3329,1.103,1.2596
31,10,4.2341,4.6306,4.27,4.5096,3.7866,4.2374,4.0819,4.4166,3.9463,4.6833,3.6801,4.1776
32,10,1.013,1.0829,1.039,1.116,0.8131,1.0721,0.96865,1.0224,0.96665,1.0529,0.9703,0.96964
33,10,1.081,1.0311,1.0854,1.2993,1.2429,0.85709,1.0457,0.87024,1.1,1.0716,1.0642,1.1263
34,10,0.49247,0.41622,0.3573,0.36725,0.25042,0.28677,0.4397,0.42733,0.3494,0.37118,0.26314,0.28913
35,10,1.2507,1.1625,1.0785,1.0621,0.54027,0.93323,0.90747,1.0185,0.83028,1.0499,0.63213,0.77675
36,10,0.9297,0.97685,1.2378,0.83126,1.3481,0.71556,0.71986,0.30536,0.70806,0.61499,1.2341,1.0119
37,10,1.031,1.3527,1.1487,1.8382,0.86145,1.3134,1.6006,1.6834,1.2564,1.3718,1.0279,1.6611
38,10,1.2014,1.3366,1.0311,1.3594,0.96475,1.3513,1.0548,1.4348,0.8807,1.2753,1.0707,1.122
39,10,0.31471,0.35948,0.3106,0.43524,0.32955,0.33056,0.30411,0.40942,0.21753,0.18307,0.19527,0.35228
40,10,0.5203,0.55434,0.55228,0.50751,0.6051,0.48709,0.51573,0.56704,0.42785,0.50811,0.49351,0.53681
41,10,0.89887,1.3931,1.1005,1.1774,1.0407,1.4408,1.0474,1.1655,0.94056,1.0574,0.70352,0.89485
