10 Hz,12 Hz
0.32208,0.22286
0.32128,0.21532
0.31821,0.22497
0.32085,0.23647
0.30875,0.22541
0.31741,0.20903
0.33015,0.20675
0.33404,0.19749
0.30398,0.19664
0.29188,0.21927
0.32266,0.2414
0.30779,0.22519
0.28316,0.20634
0.28701,0.18621
0.33103,0.19889
0.35206,0.20348
0.30353,0.1951
0.2886,0.20088
0.30794,0.2068
0.44834,0.25878
0.37712,0.23703
0.39071,0.24533
0.42751,0.25599
0.43754,0.29714
0.60239,0.38636
0.71252,0.44308
0.97597,0.67197
1.1978,0.99
1.5674,1.1728
1.0627,0.681
0.49733,0.28014
0.35069,0.21727
0.32162,0.22131
0.32017,0.22143
0.32107,0.21218
0.33409,0.22795
0.3237,0.22868
0.32978,0.24115
0.3194,0.23361
0.29838,0.21845
0.30626,0.20263
0.31952,0.20386
0.30695,0.19537
0.27318,0.18607
0.28394,0.20766
0.32583,0.23608
0.35498,0.25352
0.35925,0.24695
0.32505,0.21598
0.28738,0.19451
0.26874,0.17919
0.31256,0.20217
0.35237,0.23791
0.28988,0.18477
0.28924,0.17606
0.31707,0.18624
0.46133,0.26208
0.40176,0.23992
0.43218,0.28834
0.49368,0.33742
0.53635,0.41085
0.73817,0.51963
0.78098,0.50767
1.1324,0.85391
