participant,frequency,condition,amplitude
VP01,10,2,1.5687
VP01,10,2,1.4221
VP01,10,2,1.8268
VP01,10,1,1.1364
VP01,10,2,1.016
VP01,10,1,1.0568
VP01,10,2,1.6053
VP01,10,1,1.0138
VP01,10,2,1.281
VP01,10,1,0.95811
VP01,10,1,1.6851
VP01,10,1,0.58687
VP01,10,2,2.1009
VP01,10,1,1.7833
VP01,10,1,0.85697
VP01,10,2,2.0325
VP01,10,2,1.3871
VP01,10,2,1.6132
VP01,10,1,0.8675
VP01,10,2,2.1973
VP01,10,1,0.45436
VP01,10,2,1.5784
VP01,10,1,1.8685
VP01,10,1,1.1697
VP01,10,1,1.3533
VP01,10,1,1.3885
VP01,10,2,2.1122
VP01,10,1,0.5082
VP01,10,2,1.1252
VP01,10,1,1.0118
VP01,10,1,1.5662
VP01,10,1,1.6193
VP01,10,2,0.90001
VP01,10,2,0.78962
VP01,10,2,1.7012
VP01,10,2,1.5706
VP01,10,2,1.8964
VP01,10,2,1.6626
VP01,10,1,0.70315
VP01,10,2,0.74358
VP01,10,1,0.41186
VP01,10,2,1.1464
VP01,10,2,2.4618
VP01,10,1,0.76403
VP01,10,2,1.4897
VP01,10,1,1.4313
VP01,10,1,0.63154
VP01,10,1,1.2154
VP01,10,1,0.85195
VP01,10,2,1.1517
VP01,10,2,1.2107
VP01,10,1,1.0022
VP01,10,2,1.6391
VP01,10,1,1.37
VP01,10,2,1.3359
VP01,10,2,0.75109
VP01,10,2,1.6063
VP01,10,1,1.4115
VP01,10,2,1.4687
VP01,10,2,1.4546
VP01,10,2,2.1212
VP01,10,2,1.9947
VP01,10,2,1.7451
VP01,10,1,1.4828
VP01,10,2,1.1079
VP01,10,1,1.3332
VP01,10,1,1.2099
VP01,10,1,1.807
VP01,10,1,1.358
VP01,10,1,0.2896
VP01,10,2,0.53255
VP01,10,2,1.8923
VP01,10,1,0.61806
VP01,10,2,1.648
VP01,10,2,1.7744
VP01,10,4,1.0647
VP01,10,3,0.81534
VP01,10,3,1.8505
VP01,10,3,1.0975
VP01,10,4,1.0067
VP01,10,3,0.69167
VP01,10,4,1.5539
VP01,10,4,2.1391
VP01,10,4,1.9286
VP01,10,4,1.6967
VP01,10,4,0.96098
VP01,10,4,1.6809
VP01,10,4,0.94253
VP01,10,3,0.99631
VP01,10,4,1.3959
VP01,10,4,2.283
VP01,10,4,1.4434
VP01,10,3,2.1224
VP01,10,4,1.6425
VP01,10,3,0.93895
VP01,10,3,0.76483
VP01,10,4,2.1224
VP01,10,4,0.83026
VP01,10,4,1.492
VP01,10,3,0.52115
VP01,10,4,1.8111
VP01,10,4,1.3612
VP01,10,4,1.9938
VP01,10,4,1.3755
VP01,10,4,1.35
VP01,10,3,2.1459
VP01,10,3,1.9741
VP01,10,3,0.59912
VP01,10,3,0.98559
VP01,10,4,1.6866
VP01,10,3,0.4618
VP01,10,4,0.77218
VP01,10,4,1.7173
VP01,10,4,0.79456
VP01,10,4,1.2012
VP01,10,3,1.5383
