Subject,Frequency,BslnRedAttended,BslnBlueAttended,AcqRedAttended,AcqBlueAttended,ExtRedAttended,ExtBlueAttended,BslnRedAttendedMovement,BslnBlueAttendedMovement,AcqRedAttendedMovement,AcqBlueAttendedMovement,ExtRedAttendedMovement,ExtBlueAttendedMovement
1,10,0.79268,1.3008,0.92112,1.2781,0.83465,1.3326,0.85229,1.4045,0.83982,1.3209,0.78602,1.3587
2,10,0.19745,0.32784,0.33701,0.28096,0.24705,0.31852,0.1443,0.20512,0.25854,0.23069,0.34887,0.43753
3,10,0.50339,0.39096,0.58178,0.43002,0.51061,0.508,0.60192,0.24923,0.45782,0.48033,0.5789,0.49069
4,10,1.5805,1.9482,1.6171,1.9669,1.6804,1.9502,1.5662,2.0391,1.8105,2.0145,1.7924,1.9068
6,10,2.5961,3.1103,2.2109,2.554,2.2511,2.518,2.9043,3.3233,2.5751,3.0114,2.5097,2.7864
7,10,0.38635,0.37579,0.30421,0.37055,0.30755,0.79809,0.38295,0.50168,0.34133,0.45288,0.21793,0.35402
9,10,0.94913,1.1266,0.96108,1.0923,0.9312,1.5962,0.82554,1.1035,0.85594,1.0663,0.94266,1.2272
11,10,3.0273,3.6994,2.6919,3.6999,3.0213,3.7622,2.7744,3.6633,2.606,3.3366,2.921,3.4918
12,10,1.995,2.4585,1.9109,2.3959,1.6862,2.3937,2.158,2.8854,1.9734,2.5921,1.869,2.4926
14,10,1.3066,1.917,2.1686,3.0559,2.1018,2.9586,1.7421,2.0971,1.9085,2.903,2.1628,2.9503
15,10,1.0351,1.113,1.0105,1.0759,1.0272,0.97378,1.1433,1.2501,1.1884,1.3088,1.1075,1.2699
16,10,0.65913,0.92072,0.60332,0.97078,0.59843,0.90777,0.81716,0.90409,0.65516,0.78633,0.78268,0.931
17,10,1.1362,1.6091,0.98946,1.3902,1.3619,1.3967,1.4214,1.5902,1.4018,1.4494,1.5096,1.6897
18,10,1.0178,0.6124,0.61722,0.69509,0.73103,0.6649,0.6592,0.8476,0.52627,0.73848,0.64696,0.82735
19,10,1.8712,2.3562,1.7152,2.3522,1.6942,2.4653,1.8571,2.2707,1.7284,2.4106,1.7905,2.4581
20,10,0.96002,1.0182,0.84753,1.0263,0.99491,1.115,0.87533,1.0849,0.89069,1.0948,0.99959,1.0083
21,10,2.1892,2.2681,2.3648,2.3475,2.4122,2.627,1.9186,2.0056,1.9765,2.0331,2.0247,2.2467
22,10,0.55129,0.65489,0.53447,0.6045,0.661,0.58968,0.55483,0.63141,0.4885,0.58484,0.58948,0.68724
23,10,0.24279,0.66795,0.57243,0.43425,0.42228,0.38867,0.34663,0.74268,0.45417,0.42954,0.42543,0.42614
24,10,1.4934,1.693,1.1798,1.8919,1.7167,1.1985,0.97551,0.71103,0.90746,0.80916,0.74489,0.73222
25,10,0.27959,0.29815,0.3468,0.1695,0.19373,0.30029,0.41114,0.20198,0.44614,0.27463,0.26121,0.16904
26,10,1.7525,1.6059,1.4241,1.3987,1.7668,1.6362,1.2501,1.128,1.2195,0.98604,1.4936,1.2717
28,10,0.77131,1.0097,0.8453,0.7206,0.8591,0.66785,0.82441,0.98267,0.88345,1.0317,0.93587,0.80569
29,10,2.7911,3.1456,3.0387,3.2352,2.5433,2.9859,2.8859,3.1746,2.7561,2.8881,2.6422,2.8317
30,10,1.2835,1.378,1.5105,1.2964,1.3527,1.2823,0.97906,1.113,1.0715,1.098,0.90852,1.0415
31,10,4.2417,4.6318,4.2863,4.5127,3.8482,4.2468,4.0915,4.4233,3.9368,4.7059,3.6709,4.1977
32,10,1.0347,1.0451,1.0258,1.1009,0.82443,1.0443,0.96892,0.96311,0.93916,1.0412,0.95298,0.95585
33,10,1.1739,1.1207,1.1807,1.4301,1.3243,0.92436,1.1355,0.97663,1.1921,1.1833,1.1882,1.2372
34,10,0.48708,0.42096,0.35067,0.38424,0.25235,0.27431,0.43718,0.42974,0.36416,0.35422,0.20958,0.28508
36,10,0.88238,0.87574,1.2096,0.80857,1.3246,0.70969,0.71484,0.30089,0.72426,0.64351,1.2715,1.0226
37,10,1.014,1.372,1.1329,1.8588,0.87758,1.3012,1.6057,1.6475,1.2391,1.3483,1.0415,1.6334
38,10,1.2054,1.3322,1.0241,1.352,0.96048,1.2874,1.0529,1.4272,0.87724,1.2704,1.0529,1.1209
40,10,0.51587,0.52867,0.55479,0.51962,0.61417,0.49456,0.51884,0.55737,0.43747,0.50475,0.49436,0.5395
41,10,0.8581,1.3982,1.1042,1.1997,0.9283,1.5191,1.052,1.1657,0.95827,1.0694,0.65117,0.8486
42,10,0.97499,1.1712,0.86509,1.3092,0.82448,2.0396,0.75881,1.2811,0.79042,1.1649,0.84053,1.0538
43,10,0.77289,0.68579,0.63358,0.63402,0.77226,0.77906,0.72181,0.73177,0.62026,0.70758,0.65412,0.6426
45,10,1.2808,1.1212,1.0982,1.1435,1.0106,1.1307,1.2129,1.2862,1.2775,1.2492,0.98048,1.2065
47,10,0.45743,0.81065,0.56358,0.73698,0.60519,0.75987,0.67859,0.95862,0.6707,0.65427,0.60493,0.75372
48,10,1.1276,1.8152,1.0559,1.5083,1.3519,1.4362,1.1005,1.552,1.0908,1.5681,1.0366,1.588
1,12,1.581,0.70691,1.4298,0.80832,1.3851,0.70247,1.6652,0.84176,1.7646,0.93505,1.5292,0.66924
2,12,0.57258,0.46302,0.74041,0.37607,0.69648,0.42576,0.73467,0.3615,0.55961,0.46088,0.63695,0.50695
3,12,0.72395,0.38134,0.77076,0.3478,0.71503,0.3516,0.59356,0.18068,0.69769,0.19515,0.76893,0.17183
4,12,0.95907,0.86009,0.98354,0.94577,0.85857,0.76619,0.91934,0.65439,0.88873,0.69719,0.87823,0.72648
6,12,1.6624,0.87269,1.4423,0.97956,1.439,1.0088,1.921,0.97885,1.7857,0.88682,1.5159,0.99014
7,12,0.66755,0.31756,0.74104,0.3813,0.53956,0.27362,0.64425,0.41,0.80893,0.49989,0.76491,0.41804
9,12,0.4585,0.38287,0.40773,0.32063,0.2446,0.45518,0.45484,0.44769,0.51109,0.32715,0.34144,0.36457
11,12,3.5451,2.3109,3.7757,2.5148,3.7167,2.7784,3.3394,2.1891,3.5125,2.4584,3.5812,2.7061
12,12,1.4405,0.48477,0.97382,0.76426,1.2474,1.0797,1.2435,0.87197,1.1168,1.0474,1.6239,1.0767
14,12,0.42791,0.42708,1.1074,0.69838,0.77478,0.65738,0.39977,0.55849,1.1075,0.7082,0.85354,0.60544
15,12,0.6802,0.47315,0.7782,0.35086,0.68601,0.30845,0.70419,0.41754,0.80025,0.47428,0.83553,0.42808
16,12,0.42139,0.19488,0.49761,0.22104,0.60647,0.29312,0.41272,0.14983,0.42832,0.25373,0.55683,0.31726
17,12,1.4611,0.98021,1.5073,1.1567,1.3237,1.0372,1.405,1.1384,1.5962,1.2308,1.4154,1.2206
18,12,0.77827,0.28987,0.75708,0.56364,0.7933,0.34806,0.42285,0.27821,0.64222,0.4526,0.81094,0.36041
19,12,0.96009,0.72233,1.0903,0.8652,1.1803,0.95431,0.9753,0.92552,1.1967,0.90521,1.2128,0.93616
20,12,0.3747,0.48622,0.33201,0.55152,0.2536,0.41987,0.41114,0.3598,0.3785,0.36432,0.25924,0.3815
21,12,2.133,1.6494,2.2326,1.5584,1.889,1.5109,2.1197,1.4711,2.2569,1.486,2.1245,1.4327
22,12,0.46504,0.40646,0.61343,0.41911,0.47735,0.52328,0.39826,0.38504,0.59505,0.50763,0.43336,0.45681
23,12,0.76398,0.48766,0.65071,0.56249,0.65629,0.50564,0.76158,0.40871,0.72939,0.51954,0.64431,0.37203
24,12,0.57037,0.32029,0.75217,0.36243,0.68929,0.30112,0.70374,0.38981,0.64021,0.37527,0.71787,0.34528
25,12,0.37152,0.33948,0.31944,0.236,0.27001,0.23743,0.5272,0.34734,0.48276,0.28626,0.38262,0.31148
26,12,1.7056,1.6168,2.1752,1.655,1.9162,1.8475,1.725,1.338,1.7985,1.4753,1.754,1.5704
28,12,1.2926,0.54513,1.0097,0.47061,1.1212,0.43135,1.1805,0.49266,1.145,0.46689,1.1015,0.44405
29,12,1.6213,0.77087,1.6943,0.93195,1.5787,0.90834,1.6879,0.97359,1.6954,1.0551,1.807,0.95659
30,12,1.3226,1.0523,1.518,1.1572,1.4484,0.97488,1.372,0.97363,1.2416,1.0301,1.3671,0.95723
31,12,3.1611,2.2436,3.6912,2.6245,3.3391,2.3221,3.2981,2.5139,3.739,2.4545,3.3372,2.8342
32,12,0.8675,0.85469,0.66771,0.93915,0.96681,0.71211,0.66765,0.75575,0.73524,0.81581,0.82773,0.76619
33,12,1.2291,0.58543,0.90464,0.69182,1.3332,0.70337,1.2239,0.85261,1.1976,0.89197,1.4309,0.90859
34,12,0.29728,0.23889,0.33238,0.1428,0.30301,0.1165,0.38835,0.1967,0.42206,0.20818,0.2235,0.21291
36,12,0.76451,0.76294,0.59169,0.67933,0.6818,0.70985,0.65592,0.6039,0.75005,0.70317,0.65284,0.67283
37,12,0.93349,0.50254,0.87675,0.56086,0.90486,0.62607,0.82847,0.49536,1.1027,0.71797,1.1052,0.58328
38,12,1.1865,0.80924,1.0857,0.8833,1.0241,1.0035,1.0027,0.80953,1.0365,0.82231,1.0777,0.85538
40,12,0.55833,0.47245,0.52132,0.39721,0.51475,0.6177,0.67674,0.4275,0.56654,0.48069,0.52295,0.38354
41,12,0.3527,0.29118,0.41386,0.51002,0.43657,0.33594,0.39128,0.39329,0.55716,0.51719,0.48225,0.3426
42,12,2.0896,1.4343,2.0012,1.4011,2.0769,1.4352,1.9051,1.4214,1.964,1.3258,1.9543,1.4013
43,12,0.83775,0.35942,0.80838,0.41737,0.70899,0.42525,0.94152,0.57414,0.95229,0.52691,0.75011,0.49496
45,12,0.67468,0.56678,0.8134,0.65076,0.61755,0.6719,0.72381,0.57026,0.89967,0.56172,0.81445,0.59796
47,12,1.1554,0.85621,1.1905,0.69998,1.1503,0.98958,0.90219,0.90146,1.2087,0.76541,0.95627,0.8878
48,12,1.9154,1.1449,1.6936,1.2023,1.6313,1.2738,1.4679,1.0854,1.5142,1.1315,1.5902,1.127
