Subject,Frequency,BslnRedAttended,BslnBlueAttended,AcqRedAttended,AcqBlueAttended,ExtRedAttended,ExtBlueAttended
1,10,0.81661,1.3294,0.9184,1.2731,0.84791,1.3194
2,10,0.28633,0.37336,0.28768,0.27725,0.22084,0.28132
3,10,0.67561,0.38911,0.75736,0.55108,0.59268,0.52138
4,10,1.5784,1.9576,1.543,1.9903,1.728,1.946
6,10,2.6447,3.1412,2.1336,2.5764,2.2805,2.515
7,10,0.37264,0.40091,0.22924,0.35082,0.33536,0.78965
8,10,1.5435,1.9696,1.6432,2.2364,1.8235,2.1986
9,10,0.95355,1.1282,0.96473,1.0871,0.94363,1.6261
11,10,3.0034,3.7425,2.6734,3.6459,3.0264,3.7938
12,10,2.0081,2.4642,1.9115,2.4032,1.7802,2.3739
14,10,1.323,1.8187,2.2215,3.0952,2.1693,3.025
15,10,1.0443,1.1093,1.0005,1.0889,1.0384,0.99271
16,10,0.68743,0.91131,0.5885,0.94834,0.57821,0.88067
17,10,1.1405,1.5954,0.99023,1.3774,1.3657,1.3955
18,10,0.96664,0.60365,0.60106,0.69102,0.76702,0.67225
19,10,1.868,2.3534,1.7113,2.3526,1.6775,2.4568
20,10,0.95374,1.0397,0.85367,1.0423,1.0171,1.1019
21,10,2.2003,2.2762,2.3659,2.3598,2.4773,2.6033
22,10,0.56218,0.64477,0.5795,0.62492,0.65008,0.60432
23,10,0.23272,0.69589,0.54724,0.40366,0.37715,0.33354
24,10,1.5486,1.7085,1.1629,1.9402,1.7175,1.1929
25,10,0.26444,0.30648,0.42761,0.16679,0.24296,0.29801
26,10,1.8178,1.6574,1.4025,1.381,1.7461,1.6698
28,10,0.8208,1.2281,0.88181,0.90888,0.85731,0.8507
29,10,2.8222,3.1894,3.0936,3.2358,2.6057,3.0285
30,10,1.4607,1.6265,1.6439,1.5081,1.5381,1.5
31,10,4.239,4.6357,4.2731,4.515,3.7886,4.2438
32,10,1.0135,1.0848,1.0385,1.1144,0.81377,1.1088
33,10,1.1726,1.1226,1.1732,1.4068,1.3163,0.95483
34,10,0.49199,0.41841,0.35708,0.38698,0.25047,0.2803
35,10,1.2514,1.1625,1.0785,1.0312,0.54027,0.93313
36,10,0.95119,0.97771,1.241,0.83248,1.3588,0.71586
37,10,1.0961,1.3279,1.1489,1.838,0.86166,1.3136
38,10,1.2006,1.3354,1.0372,1.357,0.91332,1.3325
39,10,0.31447,0.35904,0.30961,0.43456,0.32951,0.29777
40,10,0.50887,0.55433,0.55119,0.50789,0.60463,0.48549
41,10,0.89653,1.3956,1.096,1.1859,1.043,1.4235
42,10,0.88589,1.1788,0.85804,1.4303,0.80898,2.0338
43,10,0.76308,0.69437,0.63487,0.68404,0.77888,0.79959
44,10,0.58092,0.84569,0.65825,0.7978,0.5833,0.80299
45,10,1.2912,1.1,1.1085,1.1391,0.97489,1.0879
46,10,0.4811,0.59258,0.44748,0.53975,0.41072,0.4781
47,10,0.48486,0.81092,0.57179,0.73644,0.58755,0.7484
48,10,0.8326,1.4929,0.7818,1.1638,1.1146,1.1627
1,12,1.6389,0.71174,1.436,0.80402,1.3913,0.69597
2,12,0.48142,0.45641,0.76355,0.40078,0.65293,0.44741
3,12,0.78941,0.41638,0.86609,0.32161,0.89317,0.53173
4,12,0.95523,0.8361,0.95683,0.94163,0.85249,0.74592
6,12,1.7225,0.88715,1.4212,0.97068,1.4775,1.0011
7,12,0.63172,0.31578,0.76828,0.42913,0.53461,0.25431
8,12,1.4421,0.90132,1.3983,0.80869,1.3615,0.6916
9,12,0.44951,0.38336,0.4005,0.32833,0.2786,0.43962
11,12,3.4969,2.3402,3.7045,2.4778,3.7047,2.7478
12,12,1.4954,0.48148,0.96968,0.76407,1.2963,1.0231
14,12,0.44116,0.36001,1.1415,0.74339,0.79098,0.69036
15,12,0.68646,0.4638,0.79245,0.36114,0.68888,0.30031
16,12,0.41881,0.20131,0.45748,0.20369,0.57942,0.27474
17,12,1.4976,0.96672,1.5207,1.1458,1.3133,1.0706
18,12,0.79106,0.2909,0.74727,0.55905,0.76948,0.33868
19,12,0.96051,0.72388,1.0849,0.85214,1.175,0.94936
20,12,0.36627,0.48662,0.30438,0.54392,0.24043,0.42336
21,12,2.1433,1.6489,2.2305,1.5721,1.9789,1.4656
22,12,0.45969,0.39331,0.64487,0.42096,0.47609,0.50646
23,12,0.79822,0.54369,0.64975,0.52706,0.61475,0.45539
24,12,0.57056,0.29907,0.75096,0.34463,0.68489,0.29935
25,12,0.40128,0.36374,0.32982,0.24831,0.28599,0.25703
26,12,1.6881,1.6296,2.1713,1.6752,1.8944,1.7957
28,12,1.4885,0.718,1.2117,0.63049,1.3284,0.61802
29,12,1.6283,0.78778,1.7553,0.93277,1.652,0.89226
30,12,1.523,1.1962,1.7085,1.2803,1.5845,1.135
31,12,3.1596,2.2499,3.679,2.6235,3.3309,2.3221
32,12,0.83495,0.84504,0.65558,0.914,0.9509,0.73903
33,12,1.2526,0.59014,0.90698,0.66894,1.3388,0.72039
34,12,0.30145,0.2458,0.34598,0.14574,0.28706,0.13926
35,12,0.76289,0.5368,0.82313,0.57767,0.71597,0.48065
36,12,0.7626,0.74947,0.58923,0.66348,0.63339,0.69685
37,12,0.93797,0.48111,0.87449,0.54306,0.93495,0.60855
38,12,1.1788,0.81517,1.0846,0.87289,1.0618,1.0065
39,12,0.50489,0.38935,0.44846,0.48841,0.68856,0.69012
40,12,0.52555,0.4655,0.52286,0.41096,0.52583,0.62302
41,12,0.36663,0.29093,0.43682,0.51215,0.43981,0.33842
42,12,2.0545,1.4421,2.0016,1.3943,2.0689,1.4298
43,12,0.84729,0.35501,0.85856,0.41748,0.70804,0.37647
44,12,1.7035,0.79562,1.4523,0.75189,1.2142,0.68746
45,12,0.65732,0.59923,0.81289,0.65465,0.59203,0.65093
46,12,0.54244,0.46568,0.51037,0.4394,0.44274,0.37194
47,12,1.167,0.85564,1.2103,0.69865,1.1196,1.0439
48,12,1.5694,0.95582,1.3461,0.96726,1.3035,1.1147
