ParticipantNo,Trial,AttendedColor,Reward,EventType,Response,RT
1,1,2,0,1,0,NaN
1,1,2,0,2,1,458
1,6,2,0,2,0,NaN
1,6,2,0,2,1,483
1,6,2,0,1,0,NaN
1,9,2,0,2,0,NaN
1,9,2,0,2,0,NaN
1,9,2,0,2,1,383
1,10,2,0,2,1,433
1,11,1,0,1,1,507
1,12,2,0,1,3,NaN
1,12,2,0,1,3,NaN
1,15,1,0,1,1,433
1,16,1,0,2,0,NaN
1,16,1,0,1,0,NaN
1,16,1,0,1,1,475
1,19,2,0,2,1,509
1,19,2,0,1,0,NaN
1,20,2,0,2,0,NaN
1,20,2,0,2,0,NaN
1,20,2,0,2,1,433
1,21,2,0,2,0,NaN
1,21,2,0,2,1,524
1,21,2,0,1,0,NaN
1,22,2,0,1,3,NaN
1,22,2,0,1,3,NaN
1,23,1,0,2,3,NaN
1,23,1,0,2,3,NaN
1,23,1,0,2,3,NaN
1,24,1,0,1,1,576
1,24,1,0,2,0,NaN
1,26,1,0,2,3,NaN
1,27,1,0,1,1,617
1,29,1,0,2,3,NaN
1,29,1,0,2,3,NaN
1,32,2,0,2,1,599
1,36,1,0,2,0,NaN
1,36,1,0,1,1,441
1,37,1,0,2,0,NaN
1,37,1,0,1,1,458
1,38,2,0,2,1,483
1,38,2,0,1,0,NaN
1,38,2,0,1,0,NaN
1,39,1,0,2,0,NaN
1,39,1,0,1,0,NaN
1,39,1,0,1,1,534
1,41,1,0,1,1,533
1,43,2,0,1,3,NaN
1,43,2,0,2,0,NaN
1,43,2,0,1,3,NaN
1,45,1,0,2,3,NaN
1,45,1,0,2,3,NaN
1,45,1,0,2,3,NaN
1,46,2,0,2,1,850
1,48,1,0,2,0,NaN
1,48,1,0,1,1,492
1,48,1,0,2,0,NaN
1,49,1,0,1,0,NaN
1,49,1,0,1,1,558
1,51,2,0,2,0,NaN
1,51,2,0,2,1,541
1,52,2,0,2,1,483
1,53,2,0,1,0,NaN
1,53,2,0,2,1,434
1,56,1,0,2,3,NaN
1,58,2,0,1,0,NaN
1,58,2,0,1,0,NaN
1,58,2,0,2,1,583
1,60,1,0,2,0,NaN
1,60,1,0,1,1,524
1,63,1,0,2,3,NaN
1,64,1,0,1,1,575
1,66,2,0,1,0,NaN
1,66,2,0,2,1,442
1,67,2,0,1,3,NaN
1,69,2,0,1,0,NaN
1,69,2,0,2,1,517
1,70,2,0,2,0,NaN
1,70,2,0,2,1,392
1,74,2,0,1,3,NaN
1,75,1,0,2,0,NaN
1,75,1,0,2,2,650
1,77,2,0,1,3,NaN
