Subject;Frequency;BslnRedAttended;BslnBlueAttended;AcqRedAttended;AcqBlueAttended;ExtRedAttended;ExtBlueAttended
4;10;1,4663;1,9607;1,6337;2,0808;1,5861;1,8603
6;10;2,4943;3,0252;2,2656;2,5912;2,2871;2,5268
14;10;0,99831;1,3455;1,6914;2,3441;1,6153;2,094
15;10;0,858;0,83738;0,85439;0,8183;0,8369;0,65138
17;10;1,2515;1,6265;1,2083;1,414;1,4975;1,2978
20;10;0,96624;0,82785;0,85147;0,80642;0,95585;1,0134
24;10;1,6202;1,8354;1,3517;1,9031;2,139;1,247
25;10;0,4731;0,21029;0,52468;0,19826;0,41454;0,36968
26;10;1,5789;1,4168;1,1671;1,0797;1,623;1,6594
31;10;3,6416;4,1124;3,8417;4,0467;3,609;3,8135
34;10;0,40383;0,38922;0,25599;0,3244;0,24776;0,28523
38;10;1,1518;1,1759;0,89312;1,21;0,63528;0,9365
41;10;1,298;1,9817;1,4065;1,3343;0,82023;1,6873
45;10;0,9969;1,0666;0,91405;1,1274;0,78718;0,76076
4;12;0,83615;0,73289;0,84076;0,88009;0,81834;0,70878
6;12;1,4733;0,86207;1,3054;0,86298;1,1708;0,95689
14;12;0,34148;0,41393;0,93078;0,71788;0,61343;0,63046
15;12;0,52797;0,52322;0,63383;0,41984;0,5165;0,39381
17;12;1,2447;1,0385;1,2985;1,0358;1,1288;0,89331
20;12;0,36261;0,71881;0,43128;0,72913;0,40309;0,5719
24;12;0,58015;0,46578;0,66689;0,54774;0,55018;0,48407
25;12;0,35168;0,34427;0,24572;0,18343;0,2869;0,26357
26;12;1,49;1,5889;2,1064;1,5732;1,8593;1,8073
31;12;2,7112;1,9217;2,8049;2,3215;2,8401;2,1422
34;12;0,4495;0,17309;0,52486;0,21163;0,36721;0,19137
38;12;1,5366;0,93385;1,2831;1,0924;1,192;1,1059
41;12;0,52045;0,21425;0,36677;0,42283;0,3929;0,29064
45;12;0,63049;0,39539;0,85289;0,53873;0,58147;0,64801
