Subject;Frequency;BslnRedAttended;BslnBlueAttended;AcqRedAttended;AcqBlueAttended;ExtRedAttended;ExtBlueAttended
1;10;0,79008;0,91896;0,81912;1,0684;0,74852;1,1721
3;10;0,59964;0,68282;0,73386;0,54207;0,59424;0,76131
7;10;0,5925;0,27581;0,2378;0,30941;0,29503;0,61947
8;10;2,0105;2,3389;1,9549;2,3682;2,2346;2,4194
9;10;1,2346;1,1149;1,2809;1,1083;1,1559;1,0896
11;10;1,8184;2,5473;1,5755;1,948;1,5489;2,0197
12;10;1,8504;2,1027;1,7116;2,4946;1,7647;2,1817
16;10;1,2385;1,5777;1,4779;1,4622;1,3337;1,6577
18;10;0,71212;0,52091;0,8005;0,42704;0,61334;0,42244
19;10;1,6435;2,1893;1,4512;2,2186;1,6554;2,1563
21;10;1,9385;2,2234;2,1394;2,2064;2,0304;2,3361
22;10;1,5712;1,5675;1,3099;1,4672;1,434;1,5088
23;10;0,75212;0,50013;0,60179;0,68928;0,5262;1,1836
28;10;1,2671;2,1564;0,96585;1,5077;1,6769;1,7783
29;10;2,4404;2,5576;2,3746;2,5934;2,5116;2,5194
30;10;0,98173;1,0807;0,68088;0,72577;0,81563;0,92597
32;10;1,1217;1,313;1,1113;1,0683;1,1695;0,98868
33;10;1,0259;0,67402;1,0934;0,97461;1,0123;0,73822
36;10;0,96337;0,75114;1,34;1,2455;0,77081;0,96195
37;10;0,53196;0,75757;0,5383;1,0991;1,345;1,2072
40;10;1,0758;1,0485;1,0739;0,99228;1,2969;1,03
42;10;0,90935;0,88104;0,79774;0,77307;0,86083;1,7227
43;10;0,84062;0,7447;0,66679;0,77984;0,75043;0,73154
46;10;0,72919;0,8077;0,66907;0,86806;0,76141;0,91523
47;10;0,69469;0,95992;0,64841;0,50966;0,47863;0,97481
48;10;0,94221;1,3184;1,1631;1,1742;1,0192;1,4203
1;12;0,5639;0,46745;0,59944;0,55977;0,5443;0,47884
3;12;0,73167;0,40926;0,64953;0,36498;0,39078;0,26072
7;12;0,28853;0,33325;0,39041;0,16676;0,33057;0,21079
8;12;1,1397;0,81116;1,0218;0,65406;1,0845;0,65674
9;12;0,64417;0,36082;0,63318;0,39525;0,40154;0,36816
11;12;1,683;1,3206;1,8612;1,5196;1,9328;1,499
12;12;0,7138;0,85737;0,53396;0,41753;0,67182;1,2283
16;12;0,65773;0,51686;0,68689;0,44007;0,75473;0,54416
18;12;0,63273;0,2818;0,24671;0,21441;0,36997;0,30688
19;12;0,76313;0,76221;0,90183;0,96643;0,93245;0,98569
21;12;1,979;1,6046;2,1225;1,4906;2,1048;1,5978
22;12;0,65425;0,45856;0,64013;0,34338;0,55241;0,46085
23;12;0,51548;0,42708;0,59187;0,49112;0,50198;0,33859
28;12;2,5131;1,3138;2,2279;1,1226;2,6038;1,2348
29;12;0,95404;0,55299;0,86479;0,60103;0,8731;0,61617
30;12;0,90657;0,72611;0,84372;0,67265;0,79861;0,57078
32;12;0,5244;0,71967;0,43092;0,64561;0,61497;0,70658
33;12;0,91281;0,4226;0,66169;0,46468;1,0026;0,57374
36;12;1,0075;0,68107;0,6364;0,31303;0,82743;0,69954
37;12;0,58907;0,19686;0,34234;0,3691;0,47407;0,58258
40;12;0,75648;0,55833;0,61321;0,6459;0,71727;0,68833
42;12;1,2649;0,84701;1,0777;0,91395;1,2639;0,84153
43;12;0,75263;0,33312;0,65311;0,43917;0,61901;0,4979
46;12;1,1568;1,0857;1,0465;0,92804;1,0645;0,93309
47;12;0,71965;0,5952;0,92294;0,73409;0,93986;0,69917
48;12;1,0842;0,83619;1,225;0,68075;0,96932;0,77048
