Subject;Frequency;BslnRedAttended;BslnBlueAttended;AcqRedAttended;AcqBlueAttended;ExtRedAttended;ExtBlueAttended
1;10;0,76039;0,8739;0,82861;1,0038;0,68131;1,0906
3;10;0,47431;0,57332;0,64267;0,43159;0,61613;0,67145
4;10;1,3211;1,7545;1,5348;1,9593;1,3879;1,6635
6;10;2,3582;2,64;2,0286;2,3807;2,1948;2,2892
7;10;0,57985;0,27887;0,27417;0,33704;0,30425;0,65766
8;10;1,7804;2,1109;1,7966;2,3005;2,0358;2,2929
9;10;1,137;1,0666;1,1934;1,0393;1,0943;1,0831
11;10;2,2191;3,0375;1,921;2,4179;1,9488;2,5314
12;10;2,0438;2,3141;1,8707;2,6671;1,823;2,3247
14;10;0,78234;1,0855;1,3381;1,9592;1,2375;1,7472
15;10;0,80523;0,74844;0,81558;0,70725;0,7714;0,56515
16;10;1,1788;1,5012;1,4141;1,4155;1,278;1,5708
17;10;1,432;1,753;1,3528;1,5157;1,6756;1,4122
18;10;0,84231;0,62096;0,71032;0,47503;0,70781;0,48134
19;10;1,7626;2,3362;1,5576;2,3752;1,7362;2,3165
20;10;0,88142;0,75209;0,76739;0,7065;0,83558;0,92856
21;10;2,1258;2,3774;2,3598;2,3334;2,2098;2,5741
22;10;1,3966;1,4183;1,2088;1,338;1,3184;1,3772
23;10;0,69365;0,54165;0,67655;0,62858;0,46677;1,0863
24;10;1,65;1,8307;1,4234;1,7375;2,1857;1,2003
25;10;0,61358;0,18107;0,6356;0,2433;0,48192;0,47843
26;10;1,4449;1,2537;0,98165;0,98446;1,5082;1,4998
28;10;1,1534;1,9281;0,9865;1,4191;1,5484;1,5238
29;10;2,5084;2,8256;2,6076;2,9535;2,6057;2,8457
30;10;0,96464;0,95499;0,94361;0,8429;0,86856;0,88542
31;10;3,4957;3,9781;3,7488;3,9804;3,4734;3,6142
32;10;1,0029;1,1643;1,0057;1,0134;1,0693;0,86351
33;10;1,1248;0,81955;1,1669;1,1076;1,1236;0,84036
34;10;0,41064;0,36216;0,30964;0,37689;0,2927;0,26987
36;10;1,0619;0,87486;1,471;1,3027;1,0509;1,0613
37;10;0,64413;0,83641;0,60063;1,2208;1,3643;1,2972
38;10;0,9637;0,85501;0,74583;0,9156;0,48949;0,64599
40;10;1,0317;1,0294;1,002;0,93503;1,2108;0,95975
41;10;1,3742;1,8895;1,3603;1,198;0,69406;1,6181
42;10;0,91937;0,8553;0,86372;0,9878;0,82151;1,8216
43;10;0,81359;0,65606;0,63631;0,73031;0,71199;0,68508
45;10;0,99774;1,0046;0,8455;1,0657;0,7305;0,67227
46;10;0,69254;0,71284;0,62301;0,82086;0,71018;0,84596
47;10;0,60847;0,78697;0,51724;0,42588;0,34056;0,8567
48;10;0,89037;1,4209;1,0997;1,1287;1,0577;1,3716
1;12;0,71569;0,39054;0,61686;0,51617;0,62853;0,50375
3;12;0,6631;0,36091;0,58465;0,29147;0,47152;0,26978
4;12;0,7424;0,5988;0,7127;0,78502;0,79155;0,62734
6;12;1,4532;0,73419;1,2272;0,7054;1,0241;0,89389
7;12;0,35451;0,31406;0,48003;0,20637;0,39417;0,1737
8;12;0,9875;0,70367;0,99123;0,63275;0,99367;0,58712
9;12;0,64092;0,35757;0,61248;0,38096;0,40259;0,38349
11;12;2,1785;1,6159;2,3805;1,8695;2,4396;1,8741
12;12;0,88245;0,65596;0,67893;0,54335;0,70261;1,1268
14;12;0,35575;0,41399;0,84706;0,76356;0,55122;0,68796
15;12;0,39533;0,40991;0,45663;0,35046;0,36841;0,28658
16;12;0,63343;0,48423;0,61825;0,38805;0,73944;0,50392
17;12;1,1921;1,0455;1,2498;1,0154;1,0728;0,87816
18;12;0,73026;0,3154;0,2469;0,26192;0,38505;0,35389
19;12;0,84447;0,77971;0,99262;0,99865;1,0485;1,0224
20;12;0,4515;0,81859;0,55626;0,81878;0,50786;0,62442
21;12;2,1228;1,704;2,2772;1,6123;2,1555;1,6673
22;12;0,52346;0,4101;0,58948;0,28856;0,49904;0,42833
23;12;0,5561;0,4675;0,62432;0,51168;0,46618;0,29004
24;12;0,67812;0,55245;0,6618;0,68335;0,47976;0,63902
25;12;0,40374;0,38687;0,28902;0,2034;0,35408;0,3174
26;12;1,3284;1,4373;1,9084;1,3836;1,6281;1,6707
28;12;2,2087;1,1439;2,0687;1,0298;2,2908;1,0258
29;12;1,1072;0,5559;0,97029;0,6908;1,0096;0,72021
30;12;1,0074;0,8432;1,0482;0,81319;0,96283;0,73608
31;12;2,4397;1,7593;2,4541;2,1165;2,5988;1,9859
32;12;0,50612;0,73906;0,40253;0,58603;0,56785;0,61001
33;12;1,05;0,48489;0,79352;0,56916;1,1432;0,61717
34;12;0,55495;0,19558;0,69757;0,23643;0,44655;0,24074
36;12;1,053;0,77612;0,65235;0,42978;0,86306;0,7569
37;12;0,62226;0,1861;0,36246;0,3718;0,49536;0,58768
38;12;1,4084;0,79577;1,1559;0,88868;1,107;0,81946
40;12;0,76436;0,57788;0,61491;0,66828;0,68916;0,73057
41;12;0,4574;0,28471;0,33426;0,44311;0,35196;0,3272
42;12;1,4754;1,0597;1,265;1,1501;1,4859;1,0323
43;12;0,7897;0,32608;0,67882;0,45009;0,65123;0,47846
45;12;0,56825;0,36807;0,79889;0,42;0,50925;0,58758
46;12;1,0592;1,0196;0,96334;0,85138;0,97419;0,86217
47;12;0,64609;0,46484;0,74794;0,6264;0,71918;0,51959
48;12;1,051;0,86576;1,1526;0,73667;0,90116;0,79252
