participant,frequency,condition,amplitude
VP01,10,2,1.4386
VP01,10,2,1.8256
VP01,10,1,1.1485
VP01,10,12,1.7609
VP01,10,1,1.0622
VP01,10,12,0.92072
VP01,10,12,0.76956
VP01,10,11,0.954
VP01,10,12,1.4482
VP01,10,2,1.6119
VP01,10,11,1.3214
VP01,10,11,1.1265
VP01,10,1,0.60034
VP01,10,1,1.0788
VP01,10,12,2.6595
VP01,10,12,1.4524
VP01,10,12,1.3651
VP01,10,12,1.6382
VP01,10,11,1.2135
VP01,10,2,1.2675
VP01,10,11,0.94786
VP01,10,11,0.86625
VP01,10,1,0.98513
VP01,10,11,0.85546
VP01,10,1,1.7223
VP01,10,1,0.58737
VP01,10,12,1.8535
VP01,10,2,2.0949
VP01,10,1,1.7931
VP01,10,1,0.8513
VP01,10,11,1.171
VP01,10,11,1.6757
VP01,10,12,1.8669
VP01,10,11,0.88903
VP01,10,2,2.0338
VP01,10,11,1.1209
VP01,10,2,1.3943
VP01,10,12,1.5059
VP01,10,2,1.623
VP01,10,11,1.0484
VP01,10,12,1.8364
VP01,10,1,0.86141
VP01,10,11,1.2598
VP01,10,11,2.1876
VP01,10,2,2.1957
VP01,10,12,1.9736
VP01,10,12,1.6877
VP01,10,12,1.643
VP01,10,1,0.43859
VP01,10,2,1.5524
VP01,10,11,1.9248
VP01,10,1,1.8737
VP01,10,12,1.6201
VP01,10,1,1.1388
VP01,10,11,1.2195
VP01,10,1,1.3479
VP01,10,1,1.1707
VP01,10,11,0.64867
VP01,10,2,2.0885
VP01,10,12,1.2742
VP01,10,12,1.762
VP01,10,1,0.50908
VP01,10,12,1.7163
VP01,10,12,1.3289
VP01,10,2,1.1071
VP01,10,1,1.0312
VP01,10,12,1.7327
VP01,10,11,1.4729
VP01,10,1,1.5697
VP01,10,12,1.8862
VP01,10,11,0.89723
VP01,10,11,1.0564
VP01,10,1,1.629
VP01,10,2,0.95591
VP01,10,11,0.86316
VP01,10,11,1.4714
VP01,10,2,0.78347
VP01,10,11,0.66602
VP01,10,11,0.43291
VP01,10,1,1.2396
VP01,10,2,1.6984
VP01,10,2,1.5823
VP01,10,11,1.3787
VP01,10,12,1.1807
VP01,10,2,1.8243
VP01,10,12,2.0666
VP01,10,12,2.2205
VP01,10,12,1.3744
VP01,10,2,1.6308
VP01,10,11,0.56129
VP01,10,1,0.69817
VP01,10,11,0.8277
VP01,10,12,0.96709
VP01,10,2,0.76888
VP01,10,12,1.9103
VP01,10,1,0.42877
VP01,10,12,1.3756
VP01,10,11,0.52582
VP01,10,12,1.5507
VP01,10,11,1.65
VP01,10,12,1.425
VP01,10,12,1.9606
VP01,10,11,0.56044
VP01,10,11,0.74732
VP01,10,11,1.1816
VP01,10,11,1.7009
VP01,10,2,0.91788
VP01,10,2,2.289
VP01,10,1,0.70533
VP01,10,12,1.3498
VP01,10,11,0.72086
VP01,10,12,1.4323
VP01,10,11,1.2308
VP01,10,12,1.7604
VP01,10,11,1.5645
VP01,10,2,1.368
VP01,10,1,1.4404
VP01,10,1,0.61971
VP01,10,12,1.7219
VP01,10,1,1.2115
VP01,10,12,1.76
VP01,10,1,0.84381
VP01,10,2,1.1543
VP01,10,11,1.1034
VP01,10,2,1.4294
VP01,10,1,1.0067
VP01,10,2,1.5857
VP01,10,11,1.2853
VP01,10,11,0.9607
VP01,10,1,1.292
VP01,10,2,1.1789
VP01,10,2,0.81723
VP01,10,12,1.9468
VP01,10,12,1.0285
VP01,10,2,1.3318
VP01,10,12,1.4103
VP01,10,11,0.72659
VP01,10,11,1.1885
VP01,10,12,1.2987
VP01,10,11,1.2588
VP01,10,1,1.1884
VP01,10,11,1.0256
VP01,10,2,1.2253
VP01,10,2,1.2774
VP01,10,12,1.2555
VP01,10,11,1.6639
VP01,10,11,1.2088
VP01,10,12,1.7743
VP01,10,11,0.69291
VP01,10,11,0.94452
VP01,10,11,0.98653
VP01,10,12,1.8954
VP01,10,11,0.80829
VP01,10,11,0.62024
VP01,10,2,2.1395
VP01,10,12,0.73082
VP01,10,2,2.0126
VP01,10,12,1.526
VP01,10,2,1.7535
VP01,10,1,1.4898
VP01,10,11,0.36829
VP01,10,12,1.0732
VP01,10,2,1.1126
VP01,10,1,1.3365
VP01,10,12,1.3911
VP01,10,11,0.84946
VP01,10,11,0.79365
VP01,10,1,1.2096
VP01,10,1,1.8149
VP01,10,1,1.3931
VP01,10,1,0.29632
VP01,10,2,0.52187
VP01,10,12,1.111
VP01,10,12,1.072
VP01,10,11,1.3795
VP01,10,12,1.7823
VP01,10,2,1.9128
VP01,10,1,0.64859
VP01,10,11,1.0511
VP01,10,2,1.6431
VP01,10,2,1.7695
VP01,10,11,1.0387
VP01,10,11,0.69464
VP01,10,12,0.8445
VP01,10,12,1.254
VP01,10,12,1.1126
VP01,10,12,1.5307
VP01,10,3,1.8598
VP01,10,3,1.09
VP01,10,4,1.0308
VP01,10,13,1.2156
VP01,10,3,0.68836
VP01,10,4,1.534
VP01,10,13,0.1801
VP01,10,14,1.7954
VP01,10,13,1.4167
VP01,10,4,2.1999
VP01,10,4,1.9622
VP01,10,4,1.6816
VP01,10,4,0.93807
VP01,10,4,1.6531
VP01,10,13,1.1444
VP01,10,13,0.99886
VP01,10,13,1.7274
