10 Hz,12 Hz
0.53264,0.44361
0.51436,0.42637
0.59362,0.48179
0.66992,0.52732
0.63311,0.5085
0.56784,0.46561
0.48523,0.40462
0.4831,0.39865
0.56554,0.45856
0.6724,0.52876
0.73109,0.5605
0.77691,0.57936
0.70644,0.54028
0.60015,0.48299
0.49663,0.39925
0.49488,0.4049
0.64015,0.50967
0.73364,0.55323
0.79169,0.56696
0.85567,0.55144
0.7656,0.55507
0.68526,0.53678
0.57275,0.44824
0.36289,0.25018
0.72681,0.53474
0.98043,0.63332
1.0625,0.66311
1.0605,0.77897
1.6074,1.04
1.2955,0.77965
0.90595,0.55774
0.84488,0.57625
0.54065,0.443
0.52649,0.43386
0.48734,0.41119
0.61421,0.48661
0.61162,0.49185
0.68994,0.53556
0.67305,0.52873
0.63161,0.50657
0.55167,0.44993
0.46785,0.38787
0.48175,0.38482
0.55883,0.44531
0.67395,0.51785
0.7469,0.55245
0.77401,0.5736
0.82852,0.58806
0.7901,0.55843
0.72513,0.51999
0.59891,0.45415
0.48298,0.37345
0.51271,0.37434
0.64922,0.46239
0.75116,0.51531
0.80439,0.54095
0.86021,0.53719
0.79045,0.51341
0.72462,0.50155
0.63427,0.44162
0.43978,0.29076
0.8743,0.57443
1.016,0.62746
1.2248,0.80742
